%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
58.44, 58.44, 72, Max Titanium, bcaa
199.99, 199.99, 2, SElF Nutrition, bcaa
80, 80, 0, Sem Marca, bcaa
54.88, 54.88, 82, Black Skull, bcaa
84, 84, 83, Atlhetica Nutrition, bcaa
29.5, 29.5, 52, Atlhetica Nutrition, bcaa
30.68, 30.68, 52, Atlhetica Nutrition, bcaa
85, 85, 25, Sem Marca, bcaa
85.99, 85.99, 175, Atlhetica Nutrition, bcaa
135.99, 135.99, 57, Sem Marca, bcaa
79.9, 79.9, 172, Atlhetica Nutrition, bcaa
46.9, 46.9, 178, Integralmedica, bcaa
30.88, 30.88, 68, Atlhetica Nutrition, bcaa
119.07, 119.07, 115, Atlhetica Nutrition, bcaa
189.49, 189.49, 41, Optimum Nutrition, bcaa
57.9, 57.9, 64, Atlhetica Nutrition, bcaa
132, 132, 89, Probiotica, bcaa
120, 120, 86, Sem Marca, bcaa
99.99, 99.99, 58, Atlhetica Nutrition, bcaa
67, 67, 146, Max Titanium, bcaa
183.16, 129.9, 271, Integralmedica, bcaa
81.9, 81.9, 83, Atlhetica Nutrition, bcaa
88.9, 88.9, 36, Max Titanium, bcaa
48.77, 48.77, 48, Integralmedica, bcaa
50, 50, 0, Sem Marca, bcaa
89.9, 89.9, 62, Atlhetica Nutrition, bcaa
99.9, 99.9, 972, Perfect Labs, bcaa
142.99, 142.99, 201, Black Skull, bcaa
216.8, 184.28, 136, Max Titanium, bcaa
17.5, 17.5, 459, Atlhetica Nutrition, bcaa
14.99, 14.99, 161, Mais Nutrition, bcaa
79.9, 79.9, 43, Atlhetica Nutrition, bcaa
98, 98, 17, Atlhetica Nutrition, bcaa
120, 120, 41, Max Titanium, bcaa
130.64, 130.64, 58, Max Titanium, bcaa
97.95, 97.95, 107, Atlhetica Nutrition, bcaa
35.45, 35.45, 63, Optimum Nutrition, bcaa
140, 140, 21, Atlhetica Nutrition, bcaa
140, 109.9, 96, PowerFoods, bcaa
125, 125, 45, Integralmedica, bcaa
84.3, 84.3, 43, Atlhetica Nutrition, bcaa
39.9, 39.9, 34, Integralmedica, bcaa
59.9, 59.9, 77, Atlhetica Nutrition, bcaa
44.4, 44.4, 127, Sem Marca, bcaa
154, 154, 12, Max Titanium, bcaa
139, 139, 17, Atlhetica Nutrition, bcaa
128.61, 128.61, 130, Max Titanium, bcaa
16.99, 16.99, 47, Atlhetica Nutrition, bcaa
173.54, 173.54, 62, Optimum Nutrition, bcaa
159.99, 159.99, 22, Max Titanium, bcaa
73.9, 73.9, 81, Atlhetica Nutrition, bcaa
26.9, 26.9, 47, Mais Nutrition, bcaa
39, 39, 24, Atlhetica Nutrition, bcaa
220, 180.9, 21, NewNutrition, bcaa
99, 99, 27, Optimum Nutrition, bcaa
120.9, 120.9, 22, Atlhetica Nutrition, bcaa
69.99, 69.99, 70, Herbalsave, bcaa
16, 16, 78, Atlhetica Nutrition, bcaa
74.99, 74.99, 32, Max Titanium, bcaa
92.9, 92.9, 33, Optimum Nutrition, bcaa
256, 256, 20, Atlhetica Nutrition, bcaa
84.99, 84.99, 22, Integralmedica, bcaa
24.8, 24.8, 17, Atlhetica Nutrition, bcaa
19.99, 19.99, 93, Max Titanium, bcaa
109.65, 109.65, 41, Integralmedica, bcaa
36, 36, 25, Atlhetica Nutrition, bcaa
